market,rank,code,name,minute_trade_date,minute_rows,five_minute_rows,daily_trade_date,daily_rows,status,error
KOSDAQ,67,099320,쎄트렉아이,2026-04-30,382,79,2026-04-30,1,ok,
KOSDAQ,68,027360,아주IB투자,2026-04-30,408,86,2026-04-30,1,ok,
KOSDAQ,69,458870,씨어스,2026-04-30,382,79,2026-04-30,1,ok,
KOSDAQ,70,080220,제주반도체,2026-04-30,406,86,2026-04-30,1,ok,
KOSDAQ,71,232140,와이씨,2026-04-30,391,84,2026-04-30,1,ok,
KOSDAQ,72,491000,리브스메드,2026-04-30,391,84,2026-04-30,1,ok,
KOSDAQ,73,445680,큐리옥스바이오시스템즈,2026-04-30,380,79,2026-04-30,1,ok,
KOSDAQ,74,437730,삼현,2026-04-30,381,78,2026-04-30,1,ok,
KOSDAQ,75,095610,테스,2026-04-30,389,85,2026-04-30,1,ok,
KOSDAQ,76,065350,신성델타테크,2026-04-30,378,79,2026-04-30,1,ok,
KOSDAQ,77,085660,차바이오텍,2026-04-30,375,78,2026-04-30,1,ok,
KOSDAQ,78,290650,엘앤씨바이오,2026-04-30,381,79,2026-04-30,1,ok,
KOSDAQ,79,281740,레이크머티리얼즈,2026-04-30,396,85,2026-04-30,1,ok,
KOSDAQ,80,090710,휴림로봇,2026-04-30,406,86,2026-04-30,1,ok,
KOSDAQ,81,036830,솔브레인홀딩스,2026-04-30,383,80,2026-04-30,1,ok,
KOSDAQ,82,166090,하나머티리얼즈,2026-04-30,385,82,2026-04-30,1,ok,
KOSDAQ,83,195940,HK이노엔,2026-04-30,380,79,2026-04-30,1,ok,
KOSDAQ,84,183300,코미코,2026-04-30,381,78,2026-04-30,1,ok,
KOSDAQ,85,003380,하림지주,2026-04-30,386,81,2026-04-30,1,ok,
KOSDAQ,86,490470,세미파이브,2026-04-30,400,84,2026-04-30,1,ok,
KOSDAQ,87,052020,에스티큐브,2026-04-30,374,83,2026-04-30,1,ok,
KOSDAQ,88,189300,인텔리안테크,2026-04-30,381,78,2026-04-30,1,ok,
KOSDAQ,89,456160,지투지바이오,2026-04-30,383,80,2026-04-30,1,ok,
KOSDAQ,90,127120,제이에스링크,2026-04-30,381,79,2026-04-30,1,ok,
KOSDAQ,91,115180,큐리언트,2026-04-30,381,78,2026-04-30,1,ok,
KOSDAQ,92,397030,에이프릴바이오,2026-04-30,381,78,2026-04-30,1,ok,
KOSDAQ,93,036540,SFA반도체,2026-04-30,407,86,2026-04-30,1,ok,
KOSDAQ,94,160190,하이젠알앤엠,2026-04-30,369,80,2026-04-30,1,ok,
KOSDAQ,95,388210,씨엠티엑스,2026-04-30,385,82,2026-04-30,1,ok,
KOSDAQ,96,222080,씨아이에스,2026-04-30,404,86,2026-04-30,1,ok,
KOSDAQ,97,137400,피엔티,2026-04-30,383,80,2026-04-30,1,ok,
KOSDAQ,98,420770,기가비스,2026-04-30,382,79,2026-04-30,1,ok,
KOSDAQ,99,089970,브이엠,2026-04-30,385,80,2026-04-30,1,ok,
KOSDAQ,100,048410,현대바이오,2026-04-30,403,86,2026-04-30,1,ok,
