market,rank,code,name,trade_date,open,high,low,close,volume,foreign_ownership_ratio
KOSDAQ,79,281740,레이크머티리얼즈,2026-04-30,0,23000,23000,23000,4236,7.84
KOSDAQ,80,090710,휴림로봇,2026-04-30,13510,13920,12420,12620,9997438,6.61
KOSDAQ,81,036830,솔브레인홀딩스,2026-04-30,78200,80200,73000,73000,129803,5.72
KOSDAQ,82,166090,하나머티리얼즈,2026-04-30,0,75500,75500,75500,123,19.57
KOSDAQ,83,195940,HK이노엔,2026-04-30,54400,54600,52300,52400,130750,13.76
KOSDAQ,84,183300,코미코,2026-04-30,144100,147400,141000,141600,88848,18.88
KOSDAQ,85,003380,하림지주,2026-04-30,13490,13550,13070,13120,668653,8.26
KOSDAQ,86,490470,세미파이브,2026-04-30,39900,43750,38600,42450,3270804,2.64
KOSDAQ,87,052020,에스티큐브,2026-04-30,0,21100,21100,21100,299,4.91
KOSDAQ,88,189300,인텔리안테크,2026-04-30,135900,137100,130600,132700,146429,20.71
KOSDAQ,89,456160,지투지바이오,2026-04-30,84400,89300,83500,85600,739237,4.61
KOSDAQ,90,127120,제이에스링크,2026-04-30,41350,41350,40050,40800,131763,2.14
KOSDAQ,91,115180,큐리언트,2026-04-30,39350,39350,37050,37300,190469,5.82
KOSDAQ,92,397030,에이프릴바이오,2026-04-30,63000,63000,59300,59300,217455,7.79
KOSDAQ,93,036540,SFA반도체,2026-04-30,8750,8800,8280,8300,5097915,6.44
KOSDAQ,94,160190,하이젠알앤엠,2026-04-30,46500,46500,43300,43600,129427,1.65
KOSDAQ,95,388210,씨엠티엑스,2026-04-30,144200,144700,139700,140700,95880,6.33
KOSDAQ,96,222080,씨아이에스,2026-04-30,0,17170,17170,17170,11144,7.03
KOSDAQ,97,137400,피엔티,2026-04-30,57700,57900,55700,56000,192375,7.86
KOSDAQ,98,420770,기가비스,2026-04-30,107700,110000,102800,103900,97472,1.94
KOSDAQ,99,089970,브이엠,2026-04-30,56100,56200,52800,53400,363540,15.2
KOSDAQ,100,048410,현대바이오,2026-04-30,0,13400,13400,13400,12151,5.58
